Entity,Year,Code,"Share of total deaths that are from all causes attributed to unsafe water source, in both sexes aged age-standardized",wat_sm,wat_bas_minus_sm,wat_lim,wat_unimp,wat_sur,wat_imp,"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),san_od,Domestic general government health expenditure (% of GDP),wat_imp_urban,wat_imp_rural,death_share_risk,income_class,death_share_diarrheal_disease,wat_imp_without_share,wat_sm_without_share,country_physicians_proportion
Afghanistan,2002,AFG,1.4035218,11.73,18.51,3.95,41.69,24.12,34.19,1280.4631,21000258,24.98,0.08418062,58.87,27.12,high-risk from unsafe water,Middle Income,0.0695968116201239,70.83010599203115,95.00239949433002,0.023606363636363637
Afghanistan,2003,AFG,1.5093122,12.51,19.76,4.24,40.21,23.28,36.51,1292.3335,22645136,24.19,0.65096337,61.19,29.41,high-risk from unsafe water,Middle Income,0.06925248759821977,66.39296403430741,91.48936884282787,0.02360636363636364
Afghanistan,2004,AFG,1.4886155,13.31,21.02,4.52,38.72,22.42,38.85,1260.0605,23553554,23.38,0.5429256,63.52,31.69,high-risk from unsafe water,Middle Income,0.06313535528438723,64.19206205568807,91.01198485799638,0.023606363636363637
Afghanistan,2005,AFG,1.3961205,14.11,22.29,4.81,37.23,21.56,41.21,1352.3207,24411196,22.56,0.5291841,65.85,33.98,medium-risk from unsafe water,Middle Income,0.05597734744336165,61.779492491887744,90.26659324680364,0.02360636363636364
Afghanistan,2006,AFG,1.2776254,14.91,23.57,5.1,35.73,20.69,43.58,1366.9932,25442946,21.74,0.49784002,68.17,36.27,medium-risk from unsafe water,Middle Income,0.04579461828044598,58.62070768062786,88.40226285116512,0.015960000000000002
Afghanistan,2007,AFG,1.1575379,16.09,24.78,5.06,34.23,19.83,45.94,1528.3446,25903306,20.92,0.55994755,70.5,38.55,medium-risk from unsafe water,Middle Income,0.0468113606811424,56.56186125431248,87.78421951236649,0.01743
Afghanistan,2008,AFG,1.0345142,17.32,25.99,4.99,32.73,18.97,48.3,1556.8445,26427204,20.11,0.6277998,72.82,40.84,medium-risk from unsafe water,Middle Income,0.0433196792214568,54.234394224981195,86.72925444553272,0.017439999999999997
Afghanistan,2009,AFG,0.9303762,18.26,27.52,4.88,31.23,18.11,50.66,1823.7426,27385310,19.29,0.5319035,75.15,43.13,medium-risk from unsafe water,Middle Income,0.03791631352721587,51.15670408697217,84.74925425346655,0.02126
Afghanistan,2010,AFG,0.86207974,19.12,29.17,4.74,29.72,17.25,53.03,2026.1638,28189672,18.48,0.46915734,77.48,45.41,medium-risk from unsafe water,Middle Income,0.03560428088698584,48.63413451564814,83.74222658568003,0.023649999999999997
Afghanistan,2011,AFG,0.79580134,19.97,30.86,4.56,28.22,16.39,55.39,1961.0963,29249156,17.67,0.47999978,79.8,47.7,medium-risk from unsafe water,Middle Income,0.03145755727105425,45.93485022268677,82.40889070440186,0.025180000000000004
Afghanistan,2012,AFG,0.73570555,20.82,32.58,4.35,26.71,15.54,57.75,2122.8308,30466484,16.86,0.34288704,82.13,49.99,medium-risk from unsafe water,Middle Income,0.02777281421774826,43.20958729599385,80.98717265832185,0.024139999999999998
Afghanistan,2013,AFG,0.7224874,21.67,34.34,4.11,25.2,14.68,60.12,2165.3408,31541216,16.05,0.44335812,84.46,52.28,medium-risk from unsafe water,Middle Income,0.02670223621055066,40.801914548887396,80.13782030470861,0.02846
Afghanistan,2014,AFG,0.6828052,22.52,36.14,3.83,23.68,13.83,62.48,2144.4497,32716214,15.25,0.47265655,86.78,54.56,medium-risk from unsafe water,Middle Income,0.024197084662669097,38.26600168344662,79.02672356893129,0.02983
Afghanistan,2015,AFG,0.64310074,23.38,37.96,3.51,22.17,12.98,64.85,2108.714,33753500,14.44,0.52267283,89.11,56.85,medium-risk from unsafe water,Middle Income,0.021536788777460115,35.83641400151095,78.12228954034396,0.028499999999999998
Afghanistan,2016,AFG,0.61294925,24.23,39.83,3.16,20.65,12.13,67.22,2101.422,34636212,13.64,0.60012823,91.44,59.14,medium-risk from unsafe water,Middle Income,0.019715666366749346,33.48899411979578,77.4045383484776,0.027820000000000004
Afghanistan,2017,AFG,0.6076158,25.08,41.72,2.78,19.13,11.28,69.59,2096.093,35643420,12.87,0.64313394,93.76,61.42,medium-risk from unsafe water,Middle Income,0.017285883341160865,30.967791530666812,76.28794318839213,0.02360636363636364
Afghanistan,2018,AFG,0.49072447,25.94,43.66,2.36,17.6,10.43,71.97,2060.699,36686788,12.17,0.54922014,96.09,63.71,medium-risk from unsafe water,Middle Income,0.01514907764615425,28.405359444386356,75.03882596644874,0.02360636363636364
Afghanistan,2019,AFG,0.46424153,26.8,45.64,1.91,16.04,9.61,74.35,2079.9219,37769496,11.48,1.0844309,98.41,66.0,medium-risk from unsafe water,Middle Income,0.014708483269143965,25.838557655098178,73.72871483379075,0.023606363636363637
Albania,2000,ALB,0.054063827,49.14,37.62,9.78,2.54,0.92,96.54,5893.654,3182027,0.89,2.7658305,99.56,94.37,medium-risk from unsafe water,Middle Income,0.0016040090168939483,3.4059736136745538,50.01802310288379,0.13821000000000003
Albania,2001,ALB,0.05076959,49.08,37.82,9.68,2.57,0.85,96.58,6442.612,3153615,0.84,2.753276,99.44,94.47,medium-risk from unsafe water,Middle Income,0.0013184868793432297,3.391314412190454,50.532674406990076,0.131
Albania,2002,ALB,0.04437472,48.98,38.47,9.19,2.59,0.77,96.64,6755.1094,3123554,0.78,2.5886693,99.33,94.57,medium-risk from unsafe water,Middle Income,0.0011317236711771272,3.35915434789986,51.058185643661034,0.11695
Albania,2003,ALB,0.039278816,48.89,39.1,8.71,2.61,0.69,96.7,7155.2964,3092993,0.73,2.6703534,99.22,94.68,medium-risk from unsafe water,Middle Income,0.0009725207913499965,3.326422012594273,51.52811532389501,0.11863
Albania,2004,ALB,0.036611553,50.72,37.79,8.24,2.63,0.62,96.75,7581.5063,3062629,0.68,2.820827,99.1,94.78,medium-risk from unsafe water,Middle Income,0.0008182512475392872,3.292269484811905,49.96240158373737,0.11913
Albania,2005,ALB,0.034951657,52.58,36.44,7.78,2.66,0.54,96.8,8041.5435,3032636,0.62,2.6653178,98.99,94.88,medium-risk from unsafe water,Middle Income,0.0007178573359941648,3.2569025758449084,48.26879981639735,0.13017571428571428
Albania,2006,ALB,0.033204302,54.47,35.05,7.32,2.68,0.47,96.84,8570.107,3003391,0.57,2.5593107,98.88,94.98,medium-risk from unsafe water,Middle Income,0.0006326182638224594,3.2191612747058245,46.43694410751048,0.11837999999999999
Albania,2007,ALB,0.03196173,56.38,33.62,6.88,2.71,0.41,96.88,9151.78,2976089,0.52,2.435714,98.76,95.08,medium-risk from unsafe water,Middle Income,0.0005698754304726774,3.178466773003092,44.46476567065031,0.11951000000000002
Albania,2008,ALB,0.030403046,58.33,32.15,6.44,2.74,0.34,96.92,9913.951,2951690,0.47,2.271255,98.65,95.18,medium-risk from unsafe water,Middle Income,0.0005176695384677929,3.136948663308139,42.39144354590083,0.13017571428571428
Albania,2009,ALB,0.030101536,60.3,30.63,6.01,2.78,0.28,96.95,10315.777,2930553,0.42,2.3380597,98.54,95.28,medium-risk from unsafe water,Middle Income,0.0004500857005486677,3.098664313527174,40.274685358019454,0.12297
Albania,2010,ALB,0.029334204,62.3,29.08,5.59,2.81,0.22,96.97,10751.421,2913402,0.38,2.3787358,98.42,95.38,medium-risk from unsafe water,Middle Income,0.0004132625706991345,3.065660008471196,38.147430392372904,0.12346999999999998
Albania,2011,ALB,0.02909375,64.33,27.48,5.18,2.85,0.16,96.99,11054.788,2900660,0.33,2.365564,98.31,95.49,medium-risk from unsafe water,Middle Income,0.0003799135369191839,3.0386877469265614,36.01621699888991,0.12217
Albania,2012,ALB,0.028598413,66.38,25.85,4.78,2.89,0.1,97.01,11229.992,2892191,0.28,2.4551888,98.2,95.59,medium-risk from unsafe water,Middle Income,0.0003644295968004879,3.0170898118416107,33.873731022605355,0.12683
Albania,2013,ALB,0.028041476,68.46,24.17,4.38,2.93,0.05,97.02,11363.318,2887019,0.24,2.5777564,98.08,95.69,medium-risk from unsafe water,Middle Income,0.00034014324117714504,3.0017467844860044,31.723379721435848,0.12773
Albania,2014,ALB,0.026663803,70.56,22.46,4.0,2.98,0.0,97.02,11588.925,2884100,0.14,2.5936172,97.97,95.79,medium-risk from unsafe water,Middle Income,0.00032419125550431675,2.9919905689816577,29.56131895565341,0.13017571428571428
Albania,2015,ALB,0.025395434,70.59,22.8,3.63,2.98,0.0,97.02,11880.598,2882482,0.11,2.7313483,97.86,95.89,medium-risk from unsafe water,Middle Income,0.00032437323112512065,2.9875988817970067,29.490071403741634,0.13017571428571428
Albania,2016,ALB,0.024268674,70.62,23.14,3.26,2.98,0.0,97.02,12294.077,2881064,0.08,2.8037052,97.75,95.99,medium-risk from unsafe water,Middle Income,0.00031828518908292214,2.9895205382455927,29.438186725459758,0.12163999999999998
Albania,2017,ALB,0.02351158,70.64,23.47,2.9,2.99,0.0,97.01,12773.269,2879361,0.05,2.6750717,97.63,96.09,medium-risk from unsafe water,High Income,0.00031812613979282213,2.9982694076914984,29.41208136110755,0.13017571428571428
Albania,2018,ALB,0.022573594,70.65,23.78,2.56,3.01,0.0,96.99,13319.495,2877019,0.0,2.8249946,97.52,96.19,medium-risk from unsafe water,High Income,0.00031803752425687843,3.0129797543916115,29.404950054205415,0.21584
Algeria,2000,DZA,0.3180224,70.08,19.77,5.54,4.14,0.47,95.39,8786.19,30774624,6.23,2.5108278,97.89,91.65,medium-risk from unsafe water,Middle Income,0.007480773769973599,4.652742467300332,30.181678255435386,0.137642
Algeria,2001,DZA,0.3016165,70.64,19.47,5.52,3.92,0.45,95.63,8926.11,31200984,5.82,2.9254992,97.97,92.01,medium-risk from unsafe water,Middle Income,0.006677706062090863,4.404149561436908,29.593547434273226,0.13764200000000001
Algeria,2002,DZA,0.2826042,71.19,19.18,5.5,3.71,0.42,95.87,9299.683,31624700,5.41,2.8079257,98.06,92.37,medium-risk from unsafe water,Middle Income,0.005976372898399036,4.160131163299573,29.018036534733927,0.11103
Algeria,2003,DZA,0.2615838,71.73,18.9,5.47,3.5,0.4,96.1,9835.162,32055882,5.02,2.7617898,98.15,92.73,medium-risk from unsafe water,Middle Income,0.005211648832498198,3.920934073815221,28.456733775099373,0.13764200000000001
Algeria,2004,DZA,0.24673244,72.25,18.63,5.45,3.29,0.37,96.33,10114.726,32510184,4.63,2.5288203,98.24,93.09,medium-risk from unsafe water,Middle Income,0.005703259015697974,3.6862941163298246,27.9077842192465,0.13764200000000001
Algeria,2005,DZA,0.22852913,72.75,18.38,5.43,3.09,0.35,96.56,10566.373,32956690,4.26,2.2416713,98.32,93.45,medium-risk from unsafe water,Middle Income,0.005161228266552254,3.460696447367742,27.406438571349245,0.10242000000000001
Algeria,2006,DZA,0.2143104,73.24,18.13,5.41,2.89,0.33,96.78,10592.247,33435082,3.9,2.296993,98.41,93.81,medium-risk from unsafe water,Middle Income,0.004717350476364915,3.2395972589509427,26.920439435440898,0.13764200000000001
Algeria,2007,DZA,0.20069413,73.72,17.89,5.39,2.7,0.31,97.0,10775.532,33983836,3.55,2.6668763,98.5,94.17,medium-risk from unsafe water,Middle Income,0.004369400793953926,3.0196708811800996,26.420901984107974,0.11957999999999999
Algeria,2008,DZA,0.18939315,74.18,17.66,5.37,2.51,0.29,97.21,10847.177,34569592,3.22,3.0251641,98.59,94.52,medium-risk from unsafe water,Middle Income,0.004187610892254673,2.8045572536696413,25.937427899062275,0.13764200000000001
Algeria,2009,DZA,0.17872451,74.63,17.44,5.34,2.32,0.27,97.42,10824.576,35196040,2.89,3.798957,98.67,94.88,medium-risk from unsafe water,Middle Income,0.004083300280372451,2.5945674570207333,25.47167806378218,0.13764200000000001
Algeria,2010,DZA,0.16963145,75.06,17.24,5.32,2.14,0.25,97.62,11007.747,35856348,2.57,3.555523,98.76,95.24,medium-risk from unsafe water,Middle Income,0.004006152550728256,2.389880865725645,25.027434472690864,0.13764200000000001
Algeria,2011,DZA,0.16056876,75.47,17.05,5.3,1.96,0.23,97.82,11113.969,36543548,2.27,3.719759,98.85,95.6,medium-risk from unsafe water,Middle Income,0.0038600794865348044,2.190734189247306,24.609214190149242,0.13764200000000001
Algeria,2012,DZA,0.15358609,75.87,16.88,5.26,1.78,0.21,98.01,11270.701,37260568,1.98,4.3761406,98.93,95.96,medium-risk from unsafe water,Middle Income,0.0037507211376917285,1.9964188414948478,24.21225033391869,0.13764200000000001
Algeria,2013,DZA,0.14939556,76.25,16.72,5.23,1.61,0.19,98.2,11360.638,38000628,1.69,4.2883034,99.02,96.32,medium-risk from unsafe water,Middle Income,0.0037672798460067556,1.8067622461397217,23.83704553514221,0.13764200000000001
Algeria,2014,DZA,0.14519587,75.97,17.22,5.19,1.44,0.17,98.39,11561.26,38760168,1.42,4.714543,99.11,96.68,medium-risk from unsafe water,Middle Income,0.0038758861932693374,1.6212700626065397,24.129580656100355,0.13764200000000001
Algeria,2015,DZA,0.14071703,75.53,17.88,5.16,1.28,0.16,98.57,11751.634,39543148,1.16,4.9170003,99.2,97.04,medium-risk from unsafe water,Middle Income,0.003894555891200164,1.4393542972350102,24.580010675933035,0.13764200000000001
Algeria,2016,DZA,0.13704526,75.07,18.55,5.12,1.11,0.14,98.75,11888.323,40339328,0.9,4.4724493,99.28,97.4,medium-risk from unsafe water,Middle Income,0.00369401294934809,1.2611637952917807,25.062536986238342,0.18325
Algeria,2017,DZA,0.13227358,74.57,19.26,5.09,0.95,0.13,98.92,11809.483,41136548,0.65,4.141408,99.37,97.76,medium-risk from unsafe water,Middle Income,0.003297068096234035,1.0867222013864652,25.58117419089225,0.13764200000000001
Algeria,2018,DZA,0.12633228,73.88,20.16,5.05,0.8,0.11,99.09,11725.878,41927008,0.42,4.058195,99.46,98.12,medium-risk from unsafe water,Middle Income,0.002891215132737352,0.9155888252269277,26.307939741371484,0.17193000000000003
Algeria,2019,DZA,0.121542916,73.14,21.1,5.02,0.68,0.06,99.26,11627.28,42705372,0.19,4.058178,99.55,98.48,medium-risk from unsafe water,Middle Income,0.002600937418365071,0.7473696751781017,27.078935174712914,0.13764200000000001
Armenia,2000,ARM,0.22797284,79.88,15.34,2.11,2.48,0.2,97.33,3921.8574,3168525,0.08,0.9546803,99.44,93.45,medium-risk from unsafe water,Middle Income,0.0018497565902115339,2.590227313971012,19.487900521536044,0.2700699999999999
Armenia,2001,ARM,0.18694723,80.0,15.49,1.98,2.32,0.21,97.47,4346.9077,3133138,0.08,1.3390822,99.47,93.86,medium-risk from unsafe water,Middle Income,0.0014908376203027125,2.462323715074153,19.470862758040024,0.26187000000000005
Armenia,2002,ARM,0.14339836,80.13,15.65,1.84,2.15,0.22,97.63,4965.224,3105040,0.08,1.1718423,99.5,94.26,medium-risk from unsafe water,Middle Income,0.001325908844974622,2.3206464328961944,19.416013964393372,0.25632999999999995
Armenia,2003,ARM,0.11185622,80.26,15.82,1.71,1.99,0.22,97.78,5698.7783,3084107,0.08,1.2063595,99.52,94.67,medium-risk from unsafe water,Middle Income,0.0011779746941335044,2.169963623181686,19.31800680067196,0.24563
Armenia,2004,ARM,0.08916342,80.39,15.98,1.57,1.83,0.23,97.94,6334.856,3065748,0.07,1.2941115,99.55,95.07,medium-risk from unsafe water,Middle Income,0.001103156554289524,2.0156907873706515,19.19570688784597,0.24603999999999998
Armenia,2005,ARM,0.06893242,80.52,16.15,1.43,1.66,0.24,98.1,7259.204,3047254,0.06,1.4784117,99.58,95.48,medium-risk from unsafe water,Middle Income,0.0010369992130619895,1.8593133358755127,19.0594220238943,0.25643
Armenia,2006,ARM,0.05331827,80.65,16.32,1.29,1.49,0.26,98.26,8273.786,3026490,0.06,1.5864077,99.6,95.89,medium-risk from unsafe water,Middle Income,0.0009899256234119393,1.7015420503619705,18.91425380556354,0.25897
Armenia,2007,ARM,0.043543357,80.78,16.49,1.14,1.31,0.27,98.42,9476.472,3004398,0.05,1.6138926,99.63,96.29,medium-risk from unsafe water,Middle Income,0.0008381046718843509,1.5426052074325705,18.75939872147432,0.26724000000000003
Armenia,2008,ARM,0.03602262,80.91,16.67,1.0,1.14,0.28,98.58,10201.56,2983425,0.05,1.4881327,99.66,96.7,medium-risk from unsafe water,Middle Income,0.0008577390080193067,1.3831083402465287,18.601272027954447,0.27432
Armenia,2009,ARM,0.03014416,81.05,16.84,0.85,0.97,0.29,98.74,8819.678,2964300,0.04,1.8116914,99.68,97.1,medium-risk from unsafe water,Middle Income,0.0007843335694767736,1.2249097594710388,18.466113416320884,0.27679
Armenia,2010,ARM,0.02504583,81.18,17.02,0.7,0.8,0.3,98.91,9068.788,2946296,0.04,1.6862897,99.71,97.51,medium-risk from unsafe water,Middle Income,0.0007063105675736586,1.0689353683404519,18.379212407714636,0.28418999999999994
Armenia,2011,ARM,0.024170572,81.8,16.72,0.56,0.62,0.31,99.07,9551.158,2928984,0.03,1.6728649,99.74,97.91,medium-risk from unsafe water,Middle Income,0.0005735777320736474,0.9144467842774149,17.878520333330602,0.28676999999999997
Armenia,2012,ARM,0.02070672,82.41,16.42,0.41,0.45,0.32,99.23,10289.976,2914428,0.02,1.5781703,99.76,98.32,medium-risk from unsafe water,Middle Income,0.0006124700970482031,0.7589825516362044,17.404753179697696,0.28967999999999994
Armenia,2013,ARM,0.020119669,83.03,16.11,0.25,0.27,0.33,99.4,10677.304,2901386,0.02,1.3756574,99.79,98.73,medium-risk from unsafe water,Middle Income,0.0007134521225372976,0.600919698378637,16.944763640549724,0.29030999999999996
Armenia,2014,ARM,0.019001558,83.64,15.8,0.1,0.12,0.34,99.54,11105.532,2889937,0.01,1.5054787,99.82,99.08,medium-risk from unsafe water,Middle Income,0.0007387704299436286,0.45911035430876174,16.488525528411174,0.28928
Armenia,2015,ARM,0.017121397,84.13,15.42,0.0,0.1,0.35,99.55,11506.039,2878598,0.01,1.6102092,99.84,99.05,medium-risk from unsafe water,Middle Income,0.0005325509154109049,0.45473525653807856,16.12990073640015,0.29142999999999997
Armenia,2016,ARM,0.016906481,84.62,14.94,0.0,0.08,0.36,99.56,11580.384,2865841,0.01,1.6373446,99.87,99.03,medium-risk from unsafe water,Middle Income,0.0004958404880103258,0.44981560386636943,15.757643218866644,0.28150470588235293
Armenia,2017,ARM,0.016525876,85.42,14.51,0.0,0.06,0.0,99.94,12509.64,2851929,0.01,1.372506,99.9,100.0,medium-risk from unsafe water,High Income,0.00031312139958603453,0.06697221424516529,15.05149672379642,0.44023000000000007
Armenia,2018,ARM,0.015974794,85.92,14.03,0.0,0.05,0.0,99.95,13231.431,2836563,0.01,1.2346811,99.92,100.0,medium-risk from unsafe water,High Income,0.00029366525615683487,0.050025329950365995,14.64864344631161,0.28150470588235293
Armenia,2019,ARM,0.015474591,86.42,13.55,0.0,0.03,0.0,99.97,14317.553,2820604,0.01,1.4061488,99.95,100.0,medium-risk from unsafe water,High Income,0.00033680729375694,0.03279439439212311,14.237092480901254,0.28150470588235293
Austria,2000,AUT,0.00043408686,96.45,3.55,0.0,0.0,0.0,100.0,46469.86,8010425,0.0,6.8257866,100.0,100.0,low-risk from unsafe water,High Income,8.064490960217466e-05,0.0,3.5717081178589147,0.38492
Austria,2001,AUT,0.00048685042,96.66,3.34,0.0,0.0,0.0,100.0,46878.918,8039633,0.0,6.8264976,100.0,100.0,low-risk from unsafe water,High Income,6.517710447728148e-05,0.0,3.3634744272530845,0.39616
Austria,2002,AUT,0.0006603148,96.87,3.13,0.0,0.0,0.0,100.0,47419.277,8078994,0.0,6.8993406,100.0,100.0,low-risk from unsafe water,High Income,0.0001667286793380463,0.0,3.1544892841856296,0.40336999999999995
Austria,2003,AUT,0.0008665789,97.07,2.93,0.0,0.0,0.0,100.0,47633.113,8120105,0.0,6.9826856,100.0,100.0,low-risk from unsafe water,High Income,0.0003167446726366223,0.0,2.946759924902449,0.41173
Austria,2004,AUT,0.0010677087,97.28,2.72,0.0,0.0,0.0,100.0,48633.273,8171215,0.0,6.996103,100.0,100.0,low-risk from unsafe water,High Income,0.0002643425732892844,0.0,2.735529538752805,0.42095000000000005
Austria,2005,AUT,0.0013008298,97.49,2.51,0.0,0.0,0.0,100.0,49387.027,8227034,0.0,6.9941998,100.0,100.0,low-risk from unsafe water,High Income,0.00028929016216536847,0.0,2.5221604772752855,0.4335499999999999
Austria,2006,AUT,0.0016023344,97.69,2.31,0.0,0.0,0.0,100.0,50840.695,8267771,0.0,6.9434433,100.0,100.0,low-risk from unsafe water,High Income,0.0005602477378727592,0.0,2.312594289319334,0.4468399999999999
Austria,2007,AUT,0.0019321156,97.9,2.1,0.0,0.0,0.0,100.0,52565.074,8294720,0.0,6.9392724,100.0,100.0,low-risk from unsafe water,High Income,0.0008464420739940587,0.0,2.1061832105242853,0.4552800000000001
Austria,2008,AUT,0.0021822134,98.1,1.9,0.0,0.0,0.0,100.0,53166.055,8321134,0.0,7.17632,100.0,100.0,low-risk from unsafe water,High Income,0.0008379867455565552,0.0,1.8996929985744733,0.46169000000000004
Austria,2009,AUT,0.0023687142,98.31,1.69,0.0,0.0,0.0,100.0,51030.727,8342939,0.0,7.449177,100.0,100.0,low-risk from unsafe water,High Income,0.0007903689575100573,0.0,1.6947385088156586,0.4706
Austria,2010,AUT,0.0025163228,98.52,1.48,0.0,0.0,0.0,100.0,51843.43,8362829,0.0,7.399579,100.0,100.0,low-risk from unsafe water,High Income,0.0006723801239987091,0.0,1.4907395571522506,0.48016
Austria,2011,AUT,0.0026648766,98.72,1.28,0.0,0.0,0.0,100.0,53179.15,8391201,0.0,7.287898,100.0,100.0,low-risk from unsafe water,High Income,0.0007138429886258236,0.0,1.2855370762778773,0.4839800000000001
Austria,2012,AUT,0.0029375982,98.91,1.09,0.0,0.0,0.0,100.0,53297.445,8429641,0.0,7.432511,100.0,100.0,low-risk from unsafe water,High Income,0.0011345678896645776,0.0,1.095100016714828,0.48859
Austria,2013,AUT,0.003174361,98.91,1.09,0.0,0.0,0.0,100.0,52997.754,8479542,0.0,7.423128,100.0,100.0,low-risk from unsafe water,High Income,0.0011105552634800323,0.0,1.0971818996827893,0.49743999999999994
Austria,2014,AUT,0.0033640808,98.91,1.09,0.0,0.0,0.0,100.0,52932.9,8546066,0.0,7.5186386,100.0,100.0,low-risk from unsafe water,High Income,0.000982791380267833,0.0,1.0977799609785368,0.50359
Austria,2015,AUT,0.0036254646,98.91,1.09,0.0,0.0,0.0,100.0,52873.86,8642422,0.0,7.511853,100.0,100.0,low-risk from unsafe water,High Income,0.001119477850074898,0.0,1.095155964381281,0.5103500000000001
Austria,2016,AUT,0.0039649503,98.91,1.09,0.0,0.0,0.0,100.0,53345.742,8736491,0.0,7.49086,100.0,100.0,low-risk from unsafe water,High Income,0.001666458535812605,0.0,1.0935397289369382,0.51234
Austria,2017,AUT,0.0041314675,98.91,1.09,0.0,0.0,0.0,100.0,54172.99,8797497,0.0,7.4457655,100.0,100.0,low-risk from unsafe water,High Income,0.002293606920241064,0.0,1.0965846308330653,0.5169699999999999
Austria,2018,AUT,0.0036973604,98.9,1.1,0.0,0.0,0.0,100.0,55217.285,8840518,0.0,7.4892535,100.0,100.0,low-risk from unsafe water,High Income,0.0021029310725909954,0.0,1.1018245763426984,0.5211399999999999
Austria,2019,AUT,0.0034730202,98.9,1.1,0.0,0.0,0.0,100.0,55806.438,8879939,0.0,7.6176486,100.0,100.0,low-risk from unsafe water,High Income,0.0017135252843516154,0.0,1.1066742688209907,0.4631394736842105
Azerbaijan,2000,AZE,0.73078823,57.84,15.74,7.76,8.08,10.58,81.35,3998.5205,8190341,0.17,0.86689276,96.36,65.47,medium-risk from unsafe water,Middle Income,0.017511114616595328,18.499535001045743,41.80847903646502,0.35743
Azerbaijan,2001,AZE,0.6175924,59.61,15.18,7.39,7.82,9.99,82.18,4360.4595,8282030,0.17,0.7900678,96.56,66.87,medium-risk from unsafe water,Middle Income,0.014642183136260074,17.635096709381635,39.97936496245485,0.3548
Azerbaijan,2002,AZE,0.49078086,61.4,14.6,7.01,7.57,9.41,83.01,4736.5645,8372128,0.17,0.7344683,96.75,68.26,medium-risk from unsafe water,Middle Income,0.01228922921388684,16.793520118182617,38.16385750432865,0.35618
Azerbaijan,2003,AZE,0.38484424,63.22,14.01,6.62,7.32,8.84,83.84,5180.6865,8462335,0.17,0.77900064,96.94,69.65,medium-risk from unsafe water,Middle Income,0.010422655212775198,15.96723599337535,36.34587853116191,0.35505
Azerbaijan,2004,AZE,0.31276754,65.06,13.39,6.21,7.07,8.27,84.66,5610.763,8556168,0.17,0.8643167,97.14,71.04,medium-risk from unsafe water,Middle Income,0.009106646807309066,15.146044350695313,34.50246652473397,0.35568
Azerbaijan,2005,AZE,0.23935421,66.93,12.75,5.79,6.82,7.7,85.48,7106.598,8656243,0.17,0.91786504,97.33,72.43,medium-risk from unsafe water,Middle Income,0.00798429526527848,14.324332161192796,32.62111518819423,0.35819
Azerbaijan,2006,AZE,0.1890834,68.83,12.1,5.36,6.58,7.13,86.29,9453.941,8763353,0.17,0.86607754,97.53,73.83,medium-risk from unsafe water,Middle Income,0.007169630163249158,13.501498798462187,30.70103418177951,0.35649000000000003
Azerbaijan,2007,AZE,0.15323271,70.75,11.43,4.92,6.33,6.57,87.1,11684.191,8878408,0.17,0.9068911,97.72,75.22,medium-risk from unsafe water,Middle Income,0.006525944741444637,12.678601839428872,28.745401202557936,0.37124
Azerbaijan,2008,AZE,0.12878108,72.69,10.74,4.47,6.08,6.02,87.9,12672.376,8999697,0.17,0.86374,97.91,76.61,medium-risk from unsafe water,High Income,0.005895420701385836,11.861354887836779,26.767545618480266,0.36844
Azerbaijan,2009,AZE,0.111362055,74.66,10.03,4.0,5.84,5.46,88.7,13565.855,9119630,0.17,1.130728,98.11,78.0,medium-risk from unsafe water,High Income,0.005388157194973918,11.061062784345417,24.793626495811782,0.36751
Azerbaijan,2010,AZE,0.097748466,76.67,9.31,3.52,5.59,4.91,89.49,14082.238,9237203,0.17,1.0107778,98.3,79.4,medium-risk from unsafe water,High Income,0.005001513986430741,10.274527906337015,22.8176862628222,0.36628999999999995
Azerbaijan,2011,AZE,0.0907588,78.69,8.56,3.03,5.35,4.37,90.29,13913.837,9359018,0.18,0.9479099,98.5,80.79,medium-risk from unsafe water,High Income,0.004764388742494138,9.493485320788997,20.820742090676607,0.34376
Azerbaijan,2012,AZE,0.08501476,80.47,8.08,2.53,5.1,3.82,91.08,14027.469,9485577,0.18,1.1136537,98.69,82.18,medium-risk from unsafe water,High Income,0.0045272944387041505,8.716422838589576,19.078111958819164,0.34901000000000004
Azerbaijan,2013,AZE,0.08285118,81.96,7.89,2.01,4.86,3.28,91.86,14651.694,9614478,0.18,1.063072,98.88,83.57,medium-risk from unsafe water,High Income,0.004147287039400371,7.9438010051091705,17.61011882288357,0.34558
Azerbaijan,2014,AZE,0.07941498,83.47,7.69,1.49,4.61,2.74,92.64,14867.943,9741879,0.18,1.127981,99.08,84.96,medium-risk from unsafe water,High Income,0.00406728517157727,7.176808498647951,16.12880841570707,0.3446
Azerbaijan,2015,AZE,0.07772508,85.0,7.42,1.0,4.37,2.21,93.42,14852.611,9863485,0.09,1.3026183,99.27,86.36,medium-risk from unsafe water,High Income,0.0038544185954558657,6.416900314645381,14.638081773328596,0.3566833333333333
Azerbaijan,2016,AZE,0.07631168,85.69,7.49,1.01,4.12,1.69,94.2,14232.192,9976254,0.09,1.1633974,99.47,87.75,medium-risk from unsafe water,High Income,0.0035504308531037797,5.665162494860295,13.96175358005119,0.3566833333333333
Azerbaijan,2017,AZE,0.07389987,86.39,7.55,1.02,3.89,1.15,94.96,14121.407,10071569,0.09,1.0020126,99.66,89.14,medium-risk from unsafe water,High Income,0.0032138984501818933,4.925032038205765,13.305196042443834,0.35668333333333335
