Entity,Code,Year,6.3.2 - Proportion of bodies of water with good ambient water quality (%) - EN_H2O_WBAMBQ,6.3.2 - Proportion of river water bodies with good ambient water quality (%) - EN_H2O_RVAMBQ,6.3.2 - Proportion of groundwater bodies with good ambient water quality (%) - EN_H2O_GRAMBQ,6.3.2 - Proportion of open water bodies with good ambient water quality (%) - EN_H2O_OPAMBQ
Serbia,SRB,2020,83.07,77.14,88.46,100
Sierra Leone,SLE,2020,41.7,41.7,,
Singapore,SGP,2017,100,,,100
Singapore,SGP,2020,100,,,100
Slovakia,SVK,2017,71.86,98.39,49.32,0
Slovakia,SVK,2020,57.15,100,47.3,0
Slovenia,SVN,2017,75.81,80.43,90.48,9.09
Slovenia,SVN,2020,83.89,89.51,78.57,27.27
South Africa,ZAF,2017,46.92,37.05,,62.5
South Africa,ZAF,2020,52.11,52.32,74.19,43.5
South Korea,KOR,2017,87.29,82.61,96.01,0
South Korea,KOR,2020,93.3,82.61,96.01,87.76
South Sudan,SSD,2017,100,100,100,100
Sub-Saharan Africa (UN),,2017,65.69,72.47,,
Sub-Saharan Africa (UN),,2020,70.75,72.58,,
Sudan,SDN,2017,86.05,100,90,70
Sweden,SWE,2017,45.13,31.77,97.7,48.85
Sweden,SWE,2020,48.37,34.58,97.62,52.96
Switzerland,CHE,2017,100,100,,
Switzerland,CHE,2020,61.11,100,,36.36
Tanzania,TZA,2017,0,,,0
Tanzania,TZA,2020,85.33,87,,80
Thailand,THA,2020,36,36,,
Togo,TGO,2020,100,100,100,100
Trinidad and Tobago,TTO,2020,87.5,,87.5,
Tunisia,TUN,2020,84.94,83,86,
Uganda,UGA,2017,100,100,,100
Uganda,UGA,2020,0,0,,0
United Arab Emirates,ARE,2017,40,,50,0
United Kingdom,GBR,2017,87.1,95.95,56.2,99.37
United Kingdom,GBR,2020,89.9,95.99,57.76,100
United States,USA,2020,33.67,32.63,,44.66
Uruguay,URY,2020,75.85,76.88,,73.04
World,OWID_WRL,2017,70.22,71.54,,
World,OWID_WRL,2020,71.92,72.13,,
Zambia,ZMB,2017,75,75,66.67,100
Zimbabwe,ZWE,2017,76.47,76.47,,
Zimbabwe,ZWE,2020,83.33,83.33,,
