Entity,Year,Code,"Share of total deaths that are from all causes attributed to unsafe water source, in both sexes aged age-standardized",wat_sm,wat_bas_minus_sm,wat_lim,wat_unimp,wat_sur,death_count - Cause: Diarrhoeal diseases - Sex: Both sexes - Age_group: ALLAges,wat_imp,"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),wat_imp_number_without,san_od,Domestic general government health expenditure (% of GDP),wat_imp_urban,wat_imp_rural,wat_sm_number_without,"Physicians (per 1,000 people)"
Cote d'Ivoire,2002,CIV,3.674649,34.3,37.08,8.35,14.76,5.51,11781.0,79.73,3664.5195,17683904,3493523,34.55,0.5432992,93.46,68.94,11321350,0.15094285714285713
Cote d'Ivoire,2003,CIV,3.517674,34.34,37.02,8.38,14.76,5.49,11923.33,79.74,3407.9788,18116450,3564929,33.95,0.5154967,93.26,68.95,11555249,0.15094285714285713
Cote d'Ivoire,2004,CIV,3.4515717,34.39,36.96,8.41,14.74,5.5,11923.87,79.76,3435.2803,18544900,3636987,33.37,0.559936,93.06,68.96,11790512,0.1158
Cote d'Ivoire,2005,CIV,3.4353812,34.44,36.9,8.44,14.72,5.51,12897.99,79.78,3391.712,18970216,3711933,32.79,0.52909434,92.87,68.96,12034123,0.0925
Cote d'Ivoire,2006,CIV,3.5354865,34.48,36.84,8.47,14.69,5.52,13648.18,79.79,3410.9978,19394062,3790347,32.22,0.55780333,92.67,68.97,12288041,0.15094285714285713
Cote d'Ivoire,2007,CIV,3.4883082,34.53,36.77,8.5,14.67,5.53,13771.38,79.8,3374.8477,19817700,3872151,31.67,0.5883003,92.47,68.98,12551946,0.15094285714285713
Cote d'Ivoire,2008,CIV,3.4585025,34.57,36.71,8.53,14.64,5.55,13059.32,79.81,3461.7117,20244452,3957773,31.12,0.60338175,92.28,68.98,12827152,0.1401
Cote d'Ivoire,2009,CIV,3.3974144,34.62,36.64,8.56,14.61,5.56,13238.72,79.82,3511.2925,20677762,4047578,30.58,0.6682317,92.08,68.99,13114623,0.15094285714285713
Cote d'Ivoire,2010,CIV,3.3016984,34.67,36.56,8.6,14.59,5.59,13271.7,79.83,3673.1814,21120040,4141684,30.05,0.58760166,91.88,69.0,13414799,0.15094285714285713
Cote d'Ivoire,2011,CIV,3.214321,34.71,36.49,8.63,14.55,5.61,13273.16,79.83,3404.5247,21562916,4240453,29.54,0.5798402,91.69,69.0,13728753,0.1531
Cote d'Ivoire,2012,CIV,3.2858603,34.76,36.41,8.66,14.52,5.64,13636.84,79.84,3589.4216,22010708,4344135,29.03,0.74607885,91.49,69.01,14057130,0.15094285714285713
Cote d'Ivoire,2013,CIV,3.358746,34.81,36.33,8.7,14.49,5.67,13852.09,79.84,3894.5154,22469272,4452545,28.53,0.7278341,91.29,69.02,14399216,0.15094285714285713
Cote d'Ivoire,2014,CIV,3.3915792,34.86,36.25,8.73,14.45,5.7,13661.19,79.84,4162.0244,22995554,4565319,28.04,0.77760935,91.09,69.02,14753721,0.2314
Cote d'Ivoire,2015,CIV,3.437874,34.91,36.17,8.77,14.42,5.74,14215.07,79.84,4347.778,23596738,4681717,27.56,0.80445975,90.9,69.03,15118780,0.15094285714285713
Cote d'Ivoire,2016,CIV,3.338117,34.96,36.08,8.8,14.38,5.78,13805.61,79.84,4541.195,24213620,4801810,27.08,0.8609088,90.7,69.04,15494359,0.15094285714285713
Cote d'Ivoire,2017,CIV,3.2619126,35.02,35.99,8.83,14.34,5.82,12850.69,79.84,4750.9365,24848024,4925573,26.61,0.94937867,90.5,69.05,15880324,0.15094285714285713
Cote d'Ivoire,2018,CIV,3.1331215,35.08,35.9,8.87,14.29,5.86,11838.43,79.84,4949.6147,25493990,5052785,26.15,0.90654147,90.31,69.05,16275829,0.1614
Cote d'Ivoire,2019,CIV,2.9720376,35.14,35.8,8.9,14.24,5.91,11256.5,79.84,5126.6343,26147544,5183225,25.7,0.9592745,90.11,69.06,16679958,0.1623
Croatia,2000,HRV,0.011219626,81.84,16.81,0.0,0.95,0.4,12.57,98.65,18368.258,4548438,59805,0.0,6.559282,100.0,97.1,804303,2.3574
Croatia,2001,HRV,0.010635319,81.89,16.77,0.0,0.95,0.4,8.39,98.66,19675.709,4506760,59261,0.0,5.9471498,100.0,97.1,798308,2.3938
Croatia,2002,HRV,0.010596111,81.93,16.73,0.0,0.94,0.4,8.24,98.66,20797.479,4482874,58882,0.0,4.9027534,100.0,97.1,794236,2.4089
Croatia,2003,HRV,0.010410594,81.97,16.69,0.0,0.94,0.4,5.53,98.67,21948.346,4461141,58575,0.0,5.170674,100.0,97.1,791133,2.4653
Croatia,2004,HRV,0.011636168,82.02,16.65,0.0,0.94,0.39,14.51,98.67,22853.732,4443351,58294,0.0,5.244488,100.0,97.1,788381,2.5304
Croatia,2005,HRV,0.012310514,82.06,16.62,0.0,0.93,0.39,15.23,98.68,23797.303,4429687,58003,0.0,5.87091,100.0,97.1,785494,2.5353
Croatia,2006,HRV,0.012610703,82.1,16.58,0.0,0.93,0.39,17.57,98.68,24954.39,4417562,57694,0.0,5.908444,100.0,97.1,782348,2.5739
Croatia,2007,HRV,0.01218942,82.14,16.54,0.0,0.93,0.39,11.96,98.68,26208.113,4405542,57371,0.0,6.4608393,100.0,97.1,779017,2.7047
Cyprus,2000,CYP,0.008864729,95.64,4.25,0.0,0.11,0.0,2.48,99.89,32949.79,948238,1043,0.0,2.1802735,99.87,99.93,41103,1.9082
Cyprus,2001,CYP,0.0085817035,95.64,4.25,0.0,0.11,0.0,2.68,99.89,33884.945,964838,1063,0.0,2.233531,99.87,99.93,41844,1.915
Cyprus,2002,CYP,0.008569986,95.64,4.25,0.0,0.11,0.0,2.8,99.89,34745.984,982202,1081,0.0,2.4922118,99.87,99.93,42571,1.8782
Cyprus,2003,CYP,0.008663824,95.64,4.25,0.0,0.12,0.0,2.9,99.88,35226.734,1000355,1177,0.0,2.4770718,99.86,99.92,43368,1.8619
Cyprus,2004,CYP,0.008795706,95.93,3.94,0.0,0.13,0.0,1.46,99.87,36505.75,1018688,1276,0.0,2.2318084,99.85,99.92,41129,1.9121
Cyprus,2005,CYP,0.008953895,96.22,3.64,0.0,0.13,0.0,5.11,99.87,37730.066,1037070,1378,0.0,2.2543015,99.84,99.91,38806,1.8965
Cyprus,2006,CYP,0.00923705,96.52,3.34,0.0,0.14,0.0,2.47,99.86,38854.914,1055445,1483,0.0,2.3401067,99.84,99.91,36402,1.8374
Cyprus,2007,CYP,0.009488006,96.81,3.04,0.0,0.15,0.0,6.36,99.85,39975.53,1073875,1591,0.0,2.312426,99.83,99.9,33905,2.0147
Cyprus,2008,CYP,0.009827614,97.11,2.74,0.0,0.16,0.0,2.44,99.84,40405.895,1092402,1702,0.0,2.5026631,99.82,99.9,31292,2.0507
Cyprus,2009,CYP,0.010205282,97.4,2.43,0.0,0.17,0.0,20.07,99.83,38542.918,1110979,1813,0.0,2.7496507,99.81,99.89,28539,2.1064
Cyprus,2010,CYP,0.010667934,97.7,2.13,0.0,0.17,0.0,9.17,99.83,38405.41,1129693,1923,0.0,2.9815376,99.8,99.89,25643,2.1562
Cyprus,2011,CYP,0.011359826,97.99,1.83,0.0,0.18,0.0,28.74,99.82,37593.93,1145090,2031,0.0,3.0571618,99.79,99.88,22616,2.2484
Cyprus,2012,CYP,0.011952655,98.28,1.53,0.0,0.19,0.0,21.08,99.81,35749.05,1156556,2137,0.0,3.0096478,99.78,99.88,19483,2.296
Cyprus,2013,CYP,0.0125419665,98.58,1.23,0.0,0.2,0.0,22.78,99.8,33471.805,1166972,2242,0.0,3.1639576,99.77,99.87,16270,2.4076
Cyprus,2014,CYP,0.012910868,98.87,0.92,0.0,0.2,0.0,35.24,99.8,33241.19,1176997,2348,0.0,2.955979,99.76,99.87,13002,2.4993
Cyprus,2015,CYP,0.013161728,99.17,0.62,0.0,0.21,0.0,42.53,99.79,34573.973,1187286,2455,0.0,2.8534443,99.75,99.86,9687,2.6236
Cyprus,2016,CYP,0.013197281,99.46,0.32,0.0,0.22,0.0,46.17,99.78,36678.098,1197889,2566,0.0,2.7953491,99.74,99.86,6325,1.9509
Cyprus,2017,CYP,0.012618981,99.75,0.02,0.0,0.23,0.0,54.86,99.77,38421.97,1208527,2678,0.0,2.7597055,99.73,99.85,2910,2.0919470588235294
Cyprus,2018,CYP,0.012525319,99.77,0.0,0.0,0.23,0.0,69.12,99.77,40099.836,1218834,2793,0.0,2.889117,99.73,99.85,2793,2.0919470588235294
Cyprus,2019,CYP,0.012379114,99.77,0.0,0.0,0.23,0.0,56.46,99.77,41746.918,1228840,2814,0.0,3.9254994,99.73,99.85,2814,2.0919470588235294
Czechia,2000,CZE,0.003756993,96.32,3.48,0.0,0.19,0.0,3.23,99.81,24976.506,10234712,19949,0.0,5.057047,99.88,99.61,378458,4.0886
Czechia,2001,CZE,0.0042789755,96.32,3.49,0.0,0.19,0.0,5.86,99.81,25833.414,10230273,19944,0.0,5.127044,99.88,99.61,378187,3.4293
Czechia,2002,CZE,0.0045314045,96.44,3.38,0.0,0.19,0.0,5.5,99.81,26289.627,10238170,19336,0.0,5.4406595,99.88,99.62,365408,3.487
Czechia,2003,CZE,0.0055041807,96.55,3.26,0.0,0.18,0.0,7.32,99.82,27239.559,10248039,18740,0.0,5.7074127,99.88,99.64,352833,3.512
Czechia,2004,CZE,0.0066406685,96.67,3.15,0.0,0.18,0.0,8.94,99.82,28542.254,10261003,18167,0.0,5.5633807,99.88,99.66,340699,3.5067
Czechia,2005,CZE,0.0082131,96.79,3.04,0.0,0.17,0.0,7.19,99.83,30384.447,10280122,17624,0.0,5.4040833,99.88,99.67,329116,3.5465
Czechia,2006,CZE,0.010633049,96.91,2.92,0.0,0.17,0.0,10.13,99.83,32352.812,10304822,17112,0.0,5.270232,99.89,99.69,318122,4.2723
Czechia,2007,CZE,0.014152236,97.03,2.81,0.0,0.16,0.0,41.73,99.84,33956.246,10337831,16624,0.0,5.015633,99.89,99.7,307544,4.2612
Czechia,2008,CZE,0.018571839,97.15,2.69,0.0,0.15,0.0,64.55,99.85,34580.44,10378586,16141,0.0,5.127185,99.89,99.72,297034,3.5415
Czechia,2009,CZE,0.023802735,97.27,2.58,0.0,0.15,0.0,76.12,99.85,32782.613,10421515,15640,0.0,6.0080557,99.89,99.74,286192,3.5612
Czechia,2010,CZE,0.030897008,97.39,2.46,0.0,0.14,0.0,141.66,99.86,33483.137,10464750,15110,0.0,5.715287,99.89,99.75,274779,3.5743
Czechia,2011,CZE,0.04100242,97.51,2.35,0.0,0.14,0.0,281.59,99.86,34002.19,10496379,14546,0.0,5.7982,99.9,99.77,262753,3.6125
Czechia,2012,CZE,0.05040296,97.64,2.23,0.0,0.13,0.0,362.02,99.87,33688.1,10511065,13947,0.0,5.8302183,99.9,99.79,250187,3.6502
Czechia,2013,CZE,0.057380717,97.76,2.12,0.0,0.13,0.0,247.38,99.87,33661.47,10514547,13327,0.0,6.441024,99.9,99.8,237326,3.6628
Czechia,2014,CZE,0.062545426,97.88,2.0,0.0,0.12,0.0,253.83,99.88,34386.703,10517178,12708,0.0,6.2726655,99.9,99.82,224484,3.9345
Czechia,2015,CZE,0.06552683,97.88,2.0,0.0,0.12,0.0,280.02,99.88,36168.418,10523801,12712,0.0,5.917825,99.9,99.82,224673,3.9516
Czechia,2016,CZE,0.06504355,97.88,2.0,0.0,0.12,0.0,253.49,99.88,37014.96,10527584,12725,0.0,5.8187237,99.9,99.82,225014,4.0194
Czechia,2017,CZE,0.061370794,97.88,2.0,0.0,0.12,0.0,238.0,99.88,38824.887,10531315,12741,0.0,5.8393865,99.9,99.82,225450,4.0676
Czechia,2018,CZE,0.05355337,97.88,2.0,0.0,0.12,0.0,258.67,99.88,39941.285,10534598,12760,0.0,6.2232924,99.9,99.82,225935,4.024
Czechia,2019,CZE,0.048704132,97.88,2.0,0.0,0.12,0.0,255.24,99.88,40989.727,10536876,12777,0.0,6.3851624,99.9,99.82,226392,4.1157
Democratic Republic of Congo,2000,COD,6.411983,10.0,23.71,10.23,38.53,17.53,52897.02,43.95,728.2072,48616328,26404040,10.46,0.06204571,79.76,24.56,42394821,0.09676666666666667
Democratic Republic of Congo,2001,COD,6.3473606,10.35,23.94,10.4,38.28,17.03,49739.86,44.69,691.70917,50106660,26785217,10.56,0.1064138,80.21,25.07,43415085,0.09676666666666667
Democratic Republic of Congo,2002,COD,6.215967,10.71,24.15,10.57,38.04,16.53,45347.46,45.44,690.6596,51662080,27211842,10.66,0.10429356,80.67,25.57,44529475,0.09676666666666667
Democratic Republic of Congo,2003,COD,6.1195116,11.08,24.36,10.74,37.78,16.03,44009.83,46.18,708.02875,53205640,27675973,10.75,0.22955516,81.12,26.08,45727685,0.09676666666666667
Democratic Republic of Congo,2004,COD,5.9844437,11.46,24.57,10.91,37.53,15.54,40317.53,46.93,733.5419,54815608,28163727,10.85,0.18619445,81.58,26.58,46989097,0.107
Democratic Republic of Congo,2005,COD,5.9563637,11.84,24.76,11.07,37.27,15.05,42254.8,47.68,754.6644,56550244,28663658,10.94,0.21806885,82.03,27.09,48297776,0.09676666666666667
Democratic Republic of Congo,2006,COD,5.9685388,12.24,24.96,11.24,37.0,14.57,44027.14,48.44,769.88715,58381636,29174030,11.03,0.2263337,82.49,27.59,49653125,0.09676666666666667
Democratic Republic of Congo,2007,COD,5.9934325,12.65,25.14,11.4,36.72,14.08,44759.48,49.2,792.19086,60289424,29697160,11.12,0.24325049,82.94,28.1,51060852,0.09676666666666667
Democratic Republic of Congo,2008,COD,5.931128,13.07,25.32,11.57,36.44,13.6,46040.44,49.96,815.01184,62249724,30230754,11.2,0.29166144,83.39,28.6,52518159,0.09676666666666667
Democratic Republic of Congo,2009,COD,5.9001403,13.49,25.5,11.73,36.15,13.12,50711.09,50.73,811.92737,64270236,30771081,11.28,0.31161487,83.85,29.11,54021153,0.0934
Democratic Republic of Congo,2010,COD,5.820823,13.94,25.67,11.89,35.86,12.65,52793.92,51.5,841.85626,66391260,31315795,11.36,0.39785826,84.3,29.61,55566701,0.09676666666666667
Democratic Republic of Congo,2011,COD,5.6774864,14.39,25.83,12.06,35.56,12.17,52599.92,52.27,870.0738,68654272,31861262,11.44,0.35409066,84.76,30.12,57150885,0.09676666666666667
Democratic Republic of Congo,2012,COD,5.494825,14.85,25.98,12.22,35.25,11.7,54258.3,53.05,900.979,70997872,32405384,11.52,0.53260946,85.21,30.62,58770754,0.09676666666666667
Democratic Republic of Congo,2013,COD,5.2904105,15.33,26.13,12.37,34.93,11.23,54237.69,53.83,944.64026,73460032,32945359,11.59,0.4984341,85.67,31.13,60422799,0.0899
Democratic Republic of Congo,2014,COD,5.147837,15.81,26.27,12.53,34.61,10.77,55633.35,54.62,999.07214,76035592,33478016,11.66,0.5508094,86.12,31.63,62103194,0.09676666666666667
Democratic Republic of Congo,2015,COD,4.9707146,16.31,26.41,12.69,34.28,10.31,52663.26,55.41,1032.5719,78656904,34000883,11.73,0.6620072,86.58,32.14,63808350,0.09676666666666667
Democratic Republic of Congo,2016,COD,4.776596,16.82,26.53,12.84,33.95,9.85,47084.42,56.2,1021.3272,81430976,34511703,11.79,0.5512247,87.03,32.64,65535420,0.09676666666666667
Democratic Republic of Congo,2017,COD,4.5537467,17.34,26.65,12.99,33.61,9.4,51204.27,56.99,1023.53986,84283272,35008011,11.85,0.41352716,87.48,33.15,67280526,0.09676666666666667
Democratic Republic of Congo,2018,COD,4.2839174,17.88,26.76,13.14,33.26,8.95,48798.62,57.79,1048.2465,87087352,35485341,11.91,0.4979623,87.94,33.66,69036846,0.09676666666666667
Democratic Republic of Congo,2019,COD,4.033961,18.43,26.87,13.29,32.9,8.51,41301.27,58.59,1059.8921,89906896,35939775,11.97,0.5593672,88.39,34.16,70797226,0.09676666666666667
Denmark,2000,DNK,0.0060971016,93.9,6.1,0.0,0.0,0.0,63.89,100.0,48907.01,5340662,0,0.0,6.7353396,100.0,100.0,325889,2.9119
Denmark,2001,DNK,0.006749887,93.9,6.1,0.0,0.0,0.0,67.34,100.0,49133.223,5360753,0,0.0,7.046384,100.0,100.0,326918,2.9333
Denmark,2002,DNK,0.008206743,93.9,6.1,0.0,0.0,0.0,145.55,100.0,49204.9,5378700,0,0.0,7.293208,100.0,100.0,327817,3.0383
Denmark,2003,DNK,0.009215965,93.9,6.1,0.0,0.0,0.0,129.66,100.0,49262.645,5396355,0,0.0,7.471022,100.0,100.0,328682,3.083
Denmark,2004,DNK,0.0101572145,94.31,5.69,0.0,0.0,0.0,135.16,100.0,50446.543,5415583,0,0.0,7.5256267,100.0,100.0,307209,3.2276
Denmark,2005,DNK,0.0112696625,94.73,5.27,0.0,0.0,0.0,112.03,100.0,51483.273,5436314,0,0.0,7.6128125,100.0,100.0,285772,3.3333
Denmark,2006,DNK,0.012527867,95.14,4.86,0.0,0.0,0.0,153.54,100.0,53322.29,5457863,0,0.0,7.6898923,100.0,100.0,264355,3.4192
Denmark,2007,DNK,0.0135189695,95.56,4.44,0.0,0.0,0.0,158.23,100.0,53569.027,5479722,0,0.0,7.8059273,100.0,100.0,242884,3.4527
Denmark,2008,DNK,0.014312804,95.97,4.03,0.0,0.0,0.0,139.85,100.0,52982.53,5502752,0,0.0,7.9914184,100.0,100.0,221289,3.5768
Denmark,2009,DNK,0.015659316,96.39,3.61,0.0,0.0,0.0,222.69,100.0,50114.05,5526455,0,0.0,9.015398,100.0,100.0,199494,3.6488
Denmark,2010,DNK,0.016663114,96.75,3.25,0.0,0.0,0.0,244.99,100.0,50825.414,5550850,0,0.0,8.667426,100.0,100.0,180796,3.7211
Denmark,2011,DNK,0.017450433,96.74,3.26,0.0,0.0,0.0,264.45,100.0,51293.207,5576016,0,0.0,8.489216,100.0,100.0,181811,3.7808
Denmark,2012,DNK,0.017956011,96.74,3.26,0.0,0.0,0.0,245.12,100.0,51216.31,5600955,0,0.0,8.600667,100.0,100.0,182835,3.8243
Denmark,2013,DNK,0.018407986,96.74,3.26,0.0,0.0,0.0,240.07,100.0,51479.266,5625393,0,0.0,8.569009,100.0,100.0,183816,3.8335
Denmark,2014,DNK,0.018554682,96.74,3.26,0.0,0.0,0.0,222.71,100.0,52048.336,5650654,0,0.0,8.563679,100.0,100.0,184738,3.8632
Denmark,2015,DNK,0.018227143,96.74,3.26,0.0,0.0,0.0,181.31,100.0,52892.645,5677795,0,0.0,8.609555,100.0,100.0,185610,3.9257
Denmark,2016,DNK,0.017561547,96.74,3.26,0.0,0.0,0.0,147.95,100.0,54185.008,5706856,0,0.0,8.533851,100.0,100.0,186422,4.0099
Denmark,2017,DNK,0.017025312,96.73,3.27,0.0,0.0,0.0,149.02,100.0,55356.68,5737286,0,0.0,8.435704,100.0,100.0,187178,4.1324
Denmark,2018,DNK,0.016479423,96.73,3.27,0.0,0.0,0.0,124.0,100.0,56178.773,5766689,0,0.0,8.447372,100.0,100.0,187900,4.2247
Denmark,2019,DNK,0.016009716,96.73,3.27,0.0,0.0,0.0,144.56,100.0,56813.965,5795879,0,0.0,8.292176,100.0,100.0,188621,3.575815789473684
Ecuador,2000,ECU,0.954834,58.2,24.1,0.93,8.7,8.07,655.93,83.23,8211.711,12626511,2126179,13.91,0.96102405,91.41,70.81,5300323,1.4459
Ecuador,2001,ECU,0.87538874,58.76,24.28,0.93,8.06,7.97,611.13,83.97,8395.833,12845523,2070186,13.12,1.2551087,91.93,71.62,5326261,1.5439
Ecuador,2002,ECU,0.7776609,59.27,24.52,0.88,7.42,7.91,581.34,84.67,8589.284,13070617,2015175,12.38,1.412834,92.45,72.44,5353786,1.5667
Ecuador,2003,ECU,0.7194797,59.74,24.76,0.83,7.1,7.56,533.4,85.34,8670.211,13301188,1960034,11.67,1.6680541,92.97,73.25,5382069,1.4974
Ecuador,2004,ECU,0.6776438,60.22,25.0,0.79,6.78,7.21,520.96,86.01,9220.325,13534598,1902081,10.97,1.732619,93.49,74.06,5408448,1.7743099999999998
Ecuador,2005,ECU,0.61576205,60.7,25.25,0.74,6.45,6.87,505.24,86.68,9542.225,13770015,1841640,10.26,1.6827617,94.0,74.87,5433830,1.7743099999999998
Ecuador,2006,ECU,0.55597055,61.17,25.49,0.69,6.13,6.53,480.82,87.35,9792.422,14009064,1778833,9.57,1.8175664,94.52,75.69,5458708,1.7743099999999998
Ecuador,2007,ECU,0.49399203,61.65,25.73,0.64,5.8,6.19,455.34,88.01,9836.419,14251838,1713480,8.87,2.0455773,95.04,76.5,5482780,1.7743099999999998
Ecuador,2008,ECU,0.45834127,62.12,25.97,0.58,5.47,5.85,454.56,88.68,10284.954,14496800,1645386,8.19,2.0991304,95.56,77.31,5505453,1.7743099999999998
Ecuador,2009,ECU,0.43881288,62.6,26.21,0.53,5.14,5.52,451.48,89.34,10170.651,14742768,1574249,7.5,2.3810701,96.08,78.12,5525759,1.5983
Ecuador,2010,ECU,0.41207993,63.07,26.46,0.48,4.8,5.19,449.07,90.01,10355.822,14989581,1499916,6.82,2.8347752,96.6,78.94,5543135,2.1111
Ecuador,2011,ECU,0.37864664,63.54,26.7,0.42,4.47,4.87,435.91,90.66,10988.722,15237734,1423153,6.15,3.065469,97.12,79.75,5558147,1.6582
Ecuador,2012,ECU,0.3421124,64.0,26.95,0.37,4.13,4.55,423.09,91.32,11424.152,15483884,1343892,5.48,3.4377654,97.63,80.56,5571016,1.7743099999999998
Ecuador,2013,ECU,0.322779,64.46,27.2,0.31,3.8,4.24,408.05,91.97,11806.924,15722988,1262014,4.82,3.8252864,98.15,81.37,5582939,1.7743099999999998
Ecuador,2014,ECU,0.31602943,64.92,27.44,0.26,3.46,3.93,389.07,92.61,12073.811,15957995,1178067,4.15,4.1146975,98.67,82.19,5596659,1.7743099999999998
Ecuador,2015,ECU,0.31134835,65.37,27.69,0.2,3.12,3.62,414.39,93.26,11908.216,16195904,1092116,3.5,4.312522,99.19,83.0,5613628,2.0648
Ecuador,2016,ECU,0.29838008,65.83,27.94,0.14,2.87,3.22,408.96,93.91,11587.825,16439588,1004100,2.8,4.416072,99.71,83.81,5634757,2.0368
Ecuador,2017,ECU,0.2943716,66.18,28.13,0.1,2.66,2.92,415.72,94.41,11679.431,16696947,937707,2.32,4.54476,100.0,84.62,5676610,2.22
Ecuador,2018,ECU,0.28954014,66.39,28.27,0.07,2.65,2.62,410.13,94.73,11608.419,17015672,900226,1.85,4.929901,100.0,85.44,5741251,1.7743099999999998
Ecuador,2019,ECU,0.2907713,66.61,28.4,0.04,2.63,2.33,410.42,95.05,11390.217,17343742,860460,1.37,4.8294086,100.0,86.25,5801089,1.7743099999999998
Estonia,2007,EST,0.006072133,95.21,4.54,0.0,0.25,0.0,4.14,99.75,31140.58,1340576,3337,0.0,3.7411404,99.99,99.24,64413,3.2508
Estonia,2008,EST,0.005665103,95.37,4.38,0.0,0.25,0.0,0.0,99.75,29621.764,1337013,3339,0.0,4.354415,99.99,99.24,62027,3.3348
Estonia,2009,EST,0.006185798,95.53,4.22,0.0,0.25,0.0,3.35,99.75,25337.176,1334557,3342,0.0,5.026101,99.99,99.24,59668,3.2767
Estonia,2010,EST,0.0067959568,95.7,4.05,0.0,0.25,0.0,3.3,99.75,26015.746,1331535,3345,0.0,4.6538105,99.99,99.24,57318,3.2422
Estonia,2011,EST,0.0062391707,95.86,3.89,0.0,0.25,0.0,0.0,99.75,27990.137,1327435,3346,0.0,4.324625,99.99,99.24,54965,3.2929
Estonia,2012,EST,0.006755294,96.02,3.72,0.0,0.25,0.0,1.46,99.75,28997.322,1322682,3334,0.0,4.4086843,99.99,99.24,52609,3.2822
Estonia,2013,EST,0.007174035,96.15,3.6,0.0,0.25,0.0,1.06,99.75,29525.12,1317985,3309,0.0,4.5115447,99.99,99.24,50838,3.3318
Estonia,2014,EST,0.007043626,96.11,3.64,0.0,0.25,0.0,0.0,99.75,30494.096,1314531,3288,0.0,4.5842443,99.99,99.24,51154,3.3564
Estonia,2015,EST,0.007723386,96.08,3.67,0.0,0.25,0.0,2.06,99.75,31038.805,1314658,3271,0.0,4.7824545,99.99,99.24,51541,3.4152
Ethiopia,2000,ETH,9.254352,4.98,13.11,6.5,42.45,32.97,119981.0,24.58,719.00446,67031872,49945059,77.08,1.799545,88.39,13.55,62929725,0.021
Ethiopia,2002,ETH,9.052307,5.54,15.79,8.5,40.07,30.1,105977.9,29.83,745.5378,71073224,49219813,70.97,2.0812147,89.41,19.22,66259409,0.029
Ethiopia,2003,ETH,8.663319,5.73,17.21,9.51,38.89,28.67,98922.78,32.44,708.53265,73168848,48758301,67.93,2.2763486,89.91,22.05,68037914,0.0268
Ethiopia,2004,ETH,8.261343,5.94,18.59,10.52,37.71,27.25,90681.24,35.04,781.9135,75301024,48222760,64.9,1.3252354,90.42,24.88,69833361,0.0269
Ethiopia,2005,ETH,7.980629,6.16,19.94,11.54,36.53,25.83,85226.75,37.64,849.84766,77469944,47609007,61.87,1.7282156,90.92,27.72,71642051,0.0321
Ethiopia,2006,ETH,7.835552,6.41,21.27,12.56,35.36,24.42,80309.65,40.23,915.67346,79691056,46913146,58.85,1.1201272,91.43,30.55,73460734,0.0269
Ethiopia,2007,ETH,7.7606893,6.67,22.57,13.58,34.18,23.0,79804.68,42.82,991.8834,81996184,46129449,55.83,1.3330679,91.94,33.38,75289532,0.0224
Ethiopia,2008,ETH,7.668518,7.02,23.87,14.61,32.94,21.56,72116.21,45.5,1068.1381,84357104,45189384,52.74,0.5142503,92.44,36.22,77093411,0.0251
Ethiopia,2009,ETH,7.5635448,7.39,25.15,15.63,31.72,20.12,65177.93,48.16,1130.0319,86755584,44181315,49.67,0.90700835,92.95,39.05,78935944,0.0252
Ethiopia,2010,ETH,7.454492,7.78,26.39,16.65,30.49,18.69,63471.94,50.82,1236.4794,89237800,43105423,46.61,0.9439637,93.45,41.88,80825861,0.03093636363636364
Ethiopia,2011,ETH,7.426071,8.18,27.6,17.67,29.27,17.28,61980.66,53.45,1336.0669,91817936,41959736,43.57,0.38117662,93.96,44.72,82766720,0.03093636363636364
Ethiopia,2012,ETH,7.347653,8.6,28.77,18.69,28.06,15.87,58044.17,56.07,1411.136,94451280,40734574,40.54,1.0666322,94.47,47.55,84749324,0.03093636363636364
Finland,2000,FIN,0.0036529768,93.49,6.51,0.0,0.0,0.0,32.02,100.0,39894.195,5176208,0,0.0,5.3710938,100.0,100.0,337678,2.4934
Finland,2001,FIN,0.003574479,93.93,6.07,0.0,0.0,0.0,32.49,100.0,40842.34,5188007,0,0.0,5.526428,100.0,100.0,315705,2.4936
Finland,2002,FIN,0.0038739494,94.37,5.63,0.0,0.0,0.0,62.43,100.0,41439.02,5200588,0,0.0,5.8596535,100.0,100.0,293644,2.5206
Finland,2003,FIN,0.0039377576,94.81,5.19,0.0,0.0,0.0,70.54,100.0,42168.695,5212991,0,0.0,6.137266,100.0,100.0,271513,2.5569
Finland,2004,FIN,0.0036882164,95.24,4.76,0.0,0.0,0.0,20.63,100.0,43724.965,5228143,0,0.0,6.2730827,100.0,100.0,249325,2.5835
Finland,2005,FIN,0.0039596697,95.68,4.32,0.0,0.0,0.0,38.09,100.0,44786.91,5246070,0,0.0,6.4486876,100.0,100.0,227077,2.9913
Finland,2006,FIN,0.004207106,96.12,3.88,0.0,0.0,0.0,43.18,100.0,46412.2,5266249,0,0.0,6.523245,100.0,100.0,204753,3.0262
Finland,2007,FIN,0.004643103,96.56,3.44,0.0,0.0,0.0,95.42,100.0,48664.266,5288694,0,0.0,6.355447,100.0,100.0,182325,3.0351
Finland,2008,FIN,0.0046998733,97.0,3.0,0.0,0.0,0.0,98.38,100.0,48817.99,5313358,0,0.0,6.5766664,100.0,100.0,159763,3.0618
Finland,2009,FIN,0.0044833925,97.43,2.57,0.0,0.0,0.0,88.17,100.0,44662.1,5338813,0,0.0,7.239751,100.0,100.0,137038,3.0861
